datetime,Qh,Qtau,Ustar,T_air,Rho_air,Wind_vel,Cd,qc_tot,qc_tot_ext
2023-12-25 00:30:00,-9.6,0.0657,0.2240535650240808,-3.5,1.3087649402390438,3.18,0.004964202365412761,1,1
2023-12-25 01:00:00,-7.24,0.0524,0.2,-3.61,1.3099999999999998,2.86,0.0048902146804244715,1,1
2023-12-25 01:30:00,1.32,0.0414,0.1777638883463118,-3.69,1.310126582278481,2.82,0.003973643176902571,1,1
2023-12-25 02:00:00,0.26,0.0651,0.2229349680960795,-3.7,1.3098591549295775,3.58,0.0038778440123591633,1,1
2023-12-25 02:30:00,0.53,0.0927,0.2658947160061666,-3.79,1.3111739745403117,3.58,0.005516369651384164,1,1
2023-12-25 03:00:00,8.43,0.1711,0.3612478373637688,-3.97,1.3111111111111111,3.57,0.010239389873596497,1,1
2023-12-25 03:30:00,-0.92,0.087,0.2574878637916746,-3.99,1.3122171945701355,4.21,0.0037406694839230183,1,1
2023-12-25 04:00:00,3.43,0.1193,0.3014962686336267,-4.14,1.3124312431243124,3.89,0.006007097494729747,1,1
2023-12-25 04:30:00,-5.28,0.1086,0.2875760768909681,-4.36,1.313180169286578,4.17,0.004755907504212457,1,1
2023-12-25 05:00:00,-4.49,0.0938,0.2672077843177478,-4.52,1.313725490196078,4.21,0.004028413290378638,1,1
2023-12-25 05:30:00,-23.75,0.1684,0.3580502757993631,-4.39,1.3135725429017155,4.0,0.008012499999999999,1,1
2023-12-25 06:00:00,5.67,0.238,0.4256759330758553,-4.35,1.313465783664459,3.81,0.01248269163204993,1,1
2023-12-25 06:30:00,2.11,0.1651,0.354682957019364,-4.23,1.3124006359300475,3.85,0.008487097318266149,1,1
2023-12-25 07:00:00,10.15,0.1875,0.378021163428716,-4.13,1.312106368089573,3.52,0.011533122417355374,1,1
2023-12-25 07:30:00,8.96,0.1829,0.3733630940518894,-4.03,1.3120516499282642,3.85,0.009404621352673302,1,1
2023-12-25 08:00:00,-3.82,0.3595,0.5236410984634419,-3.9,1.311086797957695,4.21,0.015470461123554935,1,1
2023-12-25 08:30:00,17.38,0.186,0.3766961640367472,-3.84,1.3107822410147991,3.79,0.009878795051552132,1,1
2023-12-25 09:00:00,11.59,0.208,0.3983716857408418,-3.76,1.3106490233144297,3.78,0.011106911900562696,1,1
2023-12-25 09:30:00,28.44,0.2859,0.4671188285650665,-3.75,1.3102658111824013,3.7,0.015938641344046746,1,1
2023-12-25 10:00:00,19.35,0.3003,0.4787483681434329,-3.72,1.3102094240837698,4.03,0.014112518394916534,1,1
2023-12-25 10:30:00,21.32,0.3978,0.5510898293381942,-3.67,1.3098452420151463,3.45,0.02551564797311489,1,1
2023-12-25 11:00:00,21.84,0.4371,0.5776677245614472,-3.64,1.3098591549295773,4.46,0.01677592551629834,1,1
2023-12-25 11:30:00,10.4,0.4141,0.5623166367803819,-3.63,1.3096141682479443,4.15,0.018359703875743934,1,1
2023-12-25 12:00:00,-5.79,0.3801,0.5386093203798092,-3.72,1.3102378490175803,3.46,0.024232349894750916,1,1
2023-12-25 12:30:00,6.06,0.3821,0.54,-3.76,1.3103566529492454,3.4,0.025224913494809695,1,1
2023-12-25 13:00:00,-2.5,0.274,0.457274534606947,-3.76,1.3103778096604497,3.74,0.014948954788526977,1,1
