datetime_utc,Qh,Qle,Qtau,Ustar,Rho_air,Wind_vel,Wind_U_std,Wind_V_std,Wind_W_std,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-12-01 20:00:00,6.665445256736442,-0.3684075541,0.0221011251524269,0.1312482,1.283879,2.689919,0.3607205,0.5018772,0.1507971,0.0023807199261687267,1,1,1,1
2023-12-01 20:30:00,-3.6187485835996336,0.7060920739,0.0090253516202282,0.0838272,1.285289,2.224993,0.3096548,0.2537819,0.1020249,0.0014194255624040838,1,1,1,1
2023-12-01 21:00:00,-3.350075906919668,-2.1021170106,0.0267023751023843,0.1441974,1.285139,2.618388,0.4303854,0.3812819,0.1645979,0.003032821537997884,1,1,1,1
2023-12-01 21:30:00,-11.017166613794512,1.2224017652,0.0428939637639847,0.1825651,1.287906,3.210489,0.5865047,0.4540235,0.2331584,0.003233651003531475,1,1,1,1
2023-12-01 22:00:00,97.12464258717618,-9.762741035,0.152710827358088,0.3437747,1.293195,1.286772,0.8225612,1.059262,0.4696749,0.07137475314611248,1,1,1,1
2023-12-01 22:30:00,-21.26957533636696,5.369982134000001,0.0404269034095664,0.176496,1.298749,1.445299,1.055956,0.6578243,0.5115393,0.014912633003671362,1,1,1,1
2023-12-01 23:00:00,-60.27670107021344,-1.8890748278,0.0096417855084932,0.0861849,1.298996,1.249471,0.9086012,0.5896496,0.4841566,0.0047578418575535296,1,1,1,1
2023-12-01 23:30:00,-22.3296708794318,-1.0728157047,0.0216111224743994,0.1291142,1.297345,0.4775263,0.9195862,0.5998065,0.3386642,0.07310606802452006,1,1,1,1
2023-12-02 00:00:00,-77.21971051977157,9.986535517,0.0989982882693568,0.2767011,1.293997,0.3791161,0.7161246,0.7232125,0.4389206,0.5326933989430725,1,1,1,1
2023-12-02 00:30:00,-59.409961758711454,11.247684775,0.1060820684622659,0.28678,1.290821,0.9461263,0.7366984,0.6875919,0.4756566,0.09187545245929425,1,1,1,1
